measured_time_us;Jitter_us
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1006.3988095238095;6.398809523809518
993.6011904761905;6.398809523809518
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1006.3988095238095;6.398809523809518
993.6011904761905;6.398809523809518
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1006.3988095238095;6.398809523809518
993.6011904761905;6.398809523809518
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1006.3988095238095;6.398809523809518
993.6011904761905;6.398809523809518
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1006.3988095238095;6.398809523809518
993.6011904761905;6.398809523809518
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1006.3988095238095;6.398809523809518
993.6011904761905;6.398809523809518
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1006.3988095238095;6.398809523809518
993.6011904761905;6.398809523809518
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1006.3988095238095;6.398809523809518
993.6011904761905;6.398809523809518
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1006.3988095238095;6.398809523809518
993.6011904761905;6.398809523809518
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1006.3988095238095;6.398809523809518
993.6011904761905;6.398809523809518
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1006.3988095238095;6.398809523809518
993.6011904761905;6.398809523809518
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1006.3988095238095;6.398809523809518
993.6011904761905;6.398809523809518
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1006.3988095238095;6.398809523809518
993.6011904761905;6.398809523809518
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1006.3988095238095;6.398809523809518
993.6011904761905;6.398809523809518
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1006.3988095238095;6.398809523809518
993.6011904761905;6.398809523809518
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
1000.0;0.0
